antecedents,consequents,antecedent support,consequent support,support,confidence,lift,leverage,conviction,zhangs_metric
frozenset({'AVReceivers&Amplifiers'}),frozenset({'SmartWatches'}),0.005025125628140704,0.04522613065326633,0.005025125628140704,1.0,22.11111111111111,0.004797858639933335,inf,0.9595959595959597
frozenset({'Adapters'}),frozenset({'HDMICables'}),0.005025125628140704,0.03015075376884422,0.005025125628140704,1.0,33.16666666666667,0.004873614302669124,inf,0.9747474747474748
frozenset({'Adapters&Multi-Outlets'}),frozenset({'MixerGrinders'}),0.010050251256281407,0.035175879396984924,0.005025125628140704,0.5,14.214285714285715,0.004671599202040353,1.92964824120603,0.9390862944162437
frozenset({'Adapters&Multi-Outlets'}),frozenset({'PenDrives'}),0.010050251256281407,0.035175879396984924,0.005025125628140704,0.5,14.214285714285715,0.004671599202040353,1.92964824120603,0.9390862944162437
frozenset({'AirFryers'}),frozenset({'ElectricKettles'}),0.005025125628140704,0.020100502512562814,0.005025125628140704,1.0,49.75,0.004924118077826317,inf,0.9848484848484849
frozenset({'AutomobileChargers'}),frozenset({'Lapdesks'}),0.005025125628140704,0.02512562814070352,0.005025125628140704,1.0,39.8,0.004898866190247721,inf,0.9797979797979799
frozenset({'BasicCases'}),frozenset({'Mice'}),0.005025125628140704,0.08542713567839195,0.005025125628140704,1.0,11.705882352941178,0.004595843539304563,inf,0.9191919191919193
frozenset({'SatelliteReceivers'}),frozenset({'BasicMobiles'}),0.010050251256281407,0.020100502512562814,0.005025125628140704,0.5,24.875,0.004823110527511932,1.9597989949748744,0.969543147208122
frozenset({'BatteryChargers'}),frozenset({'RechargeableBatteries'}),0.005025125628140704,0.010050251256281407,0.005025125628140704,1.0,99.5,0.0049746218529835105,inf,0.994949494949495
frozenset({'RechargeableBatteries'}),frozenset({'BatteryChargers'}),0.010050251256281407,0.005025125628140704,0.005025125628140704,0.5,99.5,0.0049746218529835105,1.9899497487437185,1.0
frozenset({'BluetoothAdapters'}),frozenset({'InternalSolidStateDrives'}),0.01507537688442211,0.01507537688442211,0.005025125628140704,0.33333333333333337,22.111111111111114,0.004797858639933335,1.477386934673367,0.9693877551020408
frozenset({'InternalSolidStateDrives'}),frozenset({'BluetoothAdapters'}),0.01507537688442211,0.01507537688442211,0.005025125628140704,0.33333333333333337,22.111111111111114,0.004797858639933335,1.477386934673367,0.9693877551020408
frozenset({'BluetoothAdapters'}),frozenset({'Mice'}),0.01507537688442211,0.08542713567839195,0.010050251256281407,0.6666666666666667,7.803921568627453,0.008762404989772985,2.7437185929648247,0.885204081632653
frozenset({'BluetoothAdapters'}),frozenset({'USBCables'}),0.01507537688442211,0.19597989949748743,0.005025125628140704,0.33333333333333337,1.7008547008547013,0.0020706547814449134,1.206030150753769,0.4183673469387756
frozenset({'FountainPens'}),frozenset({'BottledInk'}),0.005025125628140704,0.005025125628140704,0.005025125628140704,1.0,199.0,0.0049998737405621075,inf,1.0000000000000002
frozenset({'BottledInk'}),frozenset({'FountainPens'}),0.005025125628140704,0.005025125628140704,0.005025125628140704,1.0,199.0,0.0049998737405621075,inf,1.0000000000000002
frozenset({'Caddies'}),frozenset({'DomeCameras'}),0.005025125628140704,0.01507537688442211,0.005025125628140704,1.0,66.33333333333334,0.004949369965404914,inf,0.9898989898989901
frozenset({'DomeCameras'}),frozenset({'Caddies'}),0.01507537688442211,0.005025125628140704,0.005025125628140704,0.33333333333333337,66.33333333333334,0.004949369965404914,1.492462311557789,1.0
frozenset({'TVWall&CeilingMounts'}),frozenset({'CameraPrivacyCovers'}),0.005025125628140704,0.010050251256281407,0.005025125628140704,1.0,99.5,0.0049746218529835105,inf,0.994949494949495
frozenset({'CameraPrivacyCovers'}),frozenset({'TVWall&CeilingMounts'}),0.010050251256281407,0.005025125628140704,0.005025125628140704,0.5,99.5,0.0049746218529835105,1.9899497487437185,1.0
frozenset({'CameraPrivacyCovers'}),frozenset({'Webcams'}),0.010050251256281407,0.005025125628140704,0.005025125628140704,0.5,99.5,0.0049746218529835105,1.9899497487437185,1.0
frozenset({'Webcams'}),frozenset({'CameraPrivacyCovers'}),0.005025125628140704,0.010050251256281407,0.005025125628140704,1.0,99.5,0.0049746218529835105,inf,0.994949494949495
frozenset({'CanisterVacuums'}),frozenset({'PowerBanks'}),0.005025125628140704,0.035175879396984924,0.005025125628140704,1.0,28.42857142857143,0.004848362415090528,inf,0.9696969696969698
frozenset({'CanisterVacuums'}),frozenset({'SteamIrons'}),0.005025125628140704,0.020100502512562814,0.005025125628140704,1.0,49.75,0.004924118077826317,inf,0.9848484848484849
frozenset({'On-Ear'}),frozenset({'Cases'}),0.01507537688442211,0.010050251256281407,0.005025125628140704,0.33333333333333337,33.16666666666667,0.004873614302669124,1.484924623115578,0.9846938775510203
frozenset({'Cases'}),frozenset({'On-Ear'}),0.010050251256281407,0.01507537688442211,0.005025125628140704,0.5,33.16666666666667,0.004873614302669124,1.9698492462311559,0.9796954314720812
frozenset({'PhoneCharms'}),frozenset({'Cases'}),0.005025125628140704,0.010050251256281407,0.005025125628140704,1.0,99.5,0.0049746218529835105,inf,0.994949494949495
frozenset({'Cases'}),frozenset({'PhoneCharms'}),0.010050251256281407,0.005025125628140704,0.005025125628140704,0.5,99.5,0.0049746218529835105,1.9899497487437185,1.0
frozenset({'ExhaustFans'}),frozenset({'CeilingFans'}),0.005025125628140704,0.02512562814070352,0.005025125628140704,1.0,39.8,0.004898866190247721,inf,0.9797979797979799
frozenset({'StovetopEspressoPots'}),frozenset({'CeilingFans'}),0.005025125628140704,0.02512562814070352,0.005025125628140704,1.0,39.8,0.004898866190247721,inf,0.9797979797979799
frozenset({'Condenser'}),frozenset({'CompleteTripodUnits'}),0.010050251256281407,0.010050251256281407,0.005025125628140704,0.5,49.75,0.004924118077826317,1.979899497487437,0.9898477157360406
frozenset({'CompleteTripodUnits'}),frozenset({'Condenser'}),0.010050251256281407,0.010050251256281407,0.005025125628140704,0.5,49.75,0.004924118077826317,1.979899497487437,0.9898477157360406
frozenset({'Tabletop&TravelTripods'}),frozenset({'CompleteTripodUnits'}),0.01507537688442211,0.010050251256281407,0.005025125628140704,0.33333333333333337,33.16666666666667,0.004873614302669124,1.484924623115578,0.9846938775510203
frozenset({'CompleteTripodUnits'}),frozenset({'Tabletop&TravelTripods'}),0.010050251256281407,0.01507537688442211,0.005025125628140704,0.5,33.16666666666667,0.004873614302669124,1.9698492462311559,0.9796954314720812
frozenset({'CompositionNotebooks'}),frozenset({'Mice'}),0.005025125628140704,0.08542713567839195,0.005025125628140704,1.0,11.705882352941178,0.004595843539304563,inf,0.9191919191919193
frozenset({'CompositionNotebooks'}),frozenset({'ScreenProtectors'}),0.005025125628140704,0.010050251256281407,0.005025125628140704,1.0,99.5,0.0049746218529835105,inf,0.994949494949495
frozenset({'ScreenProtectors'}),frozenset({'CompositionNotebooks'}),0.010050251256281407,0.005025125628140704,0.005025125628140704,0.5,99.5,0.0049746218529835105,1.9899497487437185,1.0
frozenset({'Condenser'}),frozenset({'In-Ear'}),0.010050251256281407,0.07035175879396985,0.005025125628140704,0.5,7.107142857142858,0.0043180727759400015,1.8592964824120604,0.868020304568528
